Tag,Site_Code,Deploy_Site,Deploy_Latitude,Deploy_Longitude,Species_Code,Common_Name,Species_Name,Sex,DeployDate,FieldYear
3208,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/22/2014,2014
3211,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/22/2014,2014
3214,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/22/2014,2014
3219,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/22/2014,2014
3232,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/22/2014,2014
3147,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/23/2014,2014
3158,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/23/2014,2014
3164,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/23/2014,2014
3166,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/23/2014,2014
3182,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/23/2014,2014
3193,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/23/2014,2014
3216,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/23/2014,2014
3222,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,2/23/2014,2014
3228,CS,Cape Shirrreff,-62.47,-60.77,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,2/23/2014,2014
3169,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/24/2014,2014
3202,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/24/2014,2014
3207,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/24/2014,2014
3192,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/25/2014,2014
3220,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/25/2014,2014
3227,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/25/2014,2014
3233,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/25/2014,2014
3318,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/25/2014,2014
3168,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/26/2014,2014
3226,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/26/2014,2014
3314,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/26/2014,2014
3157,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/28/2014,2014
3170,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/28/2014,2014
3173,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/28/2014,2014
3195,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/28/2014,2014
3317,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,2/28/2014,2014
3160,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,3/2/2014,2014
3185,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,3/2/2014,2014
3200,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,3/2/2014,2014
3313,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,3/2/2014,2014
3316,CS,Cape Shirrreff,-62.47,-60.77,AFS,Antarctic fur seal,Arctocephalus gazella,2,3/2/2014,2014
3153,CS,Cape Shirrreff,-62.47,-60.77,CONTROL,Control tag,NA,NA,3/2/2014,2014
3188,CS,Cape Shirrreff,-62.47,-60.77,CONTROL,Control tag,NA,NA,3/2/2014,2014
3190,CS,Cape Shirrreff,-62.47,-60.77,CONTROL,Control tag,NA,NA,3/2/2014,2014
3196,CS,Cape Shirrreff,-62.47,-60.77,CONTROL,Control tag,NA,NA,3/2/2014,2014
3198,CS,Cape Shirrreff,-62.47,-60.77,CONTROL,Control tag,NA,NA,3/2/2014,2014
1741,COPA,Copacabana,-62.178,-58.446,BRSK,Brown skua,Stercorarius antarcticus,1,12/1/2011,2012
1708,COPA,Copacabana,-62.178,-58.446,BRSK,Brown skua,Stercorarius antarcticus,1,12/5/2011,2012
1691,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,12/17/2011,2012
1709,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,12/17/2011,2012
1711,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,12/17/2011,2012
1728,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,12/17/2011,2012
1731,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,12/17/2011,2012
1749,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,12/17/2011,2012
1762,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,12/17/2011,2012
